booked_today_list,delivery,expensive,genre,location,num_reviews_list,rating_list,rest_name
, Takeout,  $    $      ,American,Midtown West,(174),4.3 stars out of 5,Connolly's Pub and Restaurant - 54th
,,  $    $      ,American,Midtown West,(1),3.9 stars out of 5,Herb N' Kitchen - New York Hilton Midtown
, Takeout,  $    $    $    $  ,Steakhouse,Midtown East,(1447),4.5 stars out of 5,Wolfgang's Steak House - 54th Street
, Takeout,  $    $    $    ,Seafood,Chelsea,(4),4.8 stars out of 5,The Mermaid Inn - Chelsea
, Takeout,  $    $      ,Italian,Chelsea,(24),4.3 stars out of 5,Don Giovanni's - Chelsea
,,  $    $    $    ,Tapas / Small Plates,Midtown East,(14),4.3 stars out of 5,Shochu and Tapas AYA
,,  $    $    $    ,American,Chelsea,(26),4.5 stars out of 5,Worthwild
, Takeout,  $    $    $    ,Italian,Hell's Kitchen,(1),5 stars out of 5,Maria Pia
,2,  $    $      ,Italian,Midtown East,(246),4.5 stars out of 5,Pescatore
,,  $    $    $    ,Swiss,Midtown West,(424),4.6 stars out of 5,Mont Blanc 52
, Takeout,  $    $    $    ,Chinese (Shanghai),Union Square,(76),4.1 stars out of 5,Xu's Public House
, Takeout,  $    $    $    $  ,Italian,Midtown East,(651),4.6 stars out of 5,Il Postino
, Takeout,  $    $    $    $  ,Indian,Midtown West,(2012),4.7 stars out of 5,Indian Accent
, Takeout,  $    $      ,Pizzeria,Hell's Kitchen,(217),4.1 stars out of 5,Angelo's Pizza
, Takeout,  $    $    $    $  ,Nordic,Midtown East,(1999),4.7 stars out of 5,Aquavit
,,  $    $      ,Comfort Food,Midtown West,(138),4.2 stars out of 5,Faces and Names
,,  $    $    $    ,American,Midtown East,(476),4.7 stars out of 5,Bill's Townhouse
,,  $    $    $    ,Contemporary American,Midtown West,(11),3.5 stars out of 5,Dabble
,,  $    $    $    ,Italian,Midtown East,(1253),4.6 stars out of 5,Cellini
, Takeout,  $    $      ,Brazilian,Hell's Kitchen,(255),4.5 stars out of 5,Rice N Bean - Hell's Kitchen
,,  $    $      ,American,Theater District / Times Square,(1693),4.4 stars out of 5,Lillie's Times Square
, Takeout,  $    $      ,Middle Eastern,Midtown East,(39),4 stars out of 5,Karizma Hookah Lounge
,2,  $    $    $    ,Vietnamese,Turtle Bay,(31),4.4 stars out of 5,Obao - 53rd St
,,  $    $    $    ,Steakhouse,Midtown East,(1046),4.6 stars out of 5,Bobby Van's Steakhouse - 54th Street
, Takeout,  $    $    $    ,Greek,Midtown West,(4899),4.5 stars out of 5,Molyvos
,,  $    $      ,American,Midtown East,(339),4.3 stars out of 5,Ophelia
,,  $    $      ,Mexican,Midtown West,(1145),4.3 stars out of 5,Iguana
, Delivery partners,  $    $      ,Korean,Midtown East,(127),3.5 stars out of 5,BarKogi
, Takeout,  $    $    $    $  ,Kosher,Midtown East,(433),4.7 stars out of 5,Mike's Bistro - UES
, Takeout,  $    $    $    ,Italian,Theater District / Times Square,(1791),3.8 stars out of 5,DaMarino NYC
,,  $    $    $    ,Contemporary Mexican,Meatpacking District,(1040),4.6 stars out of 5,Bodega Negra at Dream Downtown
,,  $    $    $    ,Contemporary American,Midtown West,(2898),4.7 stars out of 5,BG - Bergdorf Goodman
, Takeout,  $    $    $    ,Chinese,Meatpacking District,(348),4.4 stars out of 5,Philippe Chow - Downtown
, Takeout,  $    $    $    ,Italian,Midtown West,(898),4.5 stars out of 5,Bice Cucina FKA Bistro Milano
, Takeout,  $    $    $    ,Italian,Midtown West,(93),4.6 stars out of 5,Felice 56
, Takeout,  $    $      ,Asian,Midtown West,(6),3.9 stars out of 5,Wagamama - Midtown
,2,  $    $      ,Italian,Theater District / Times Square,(966),4.3 stars out of 5,Da Tommaso NYC
, Takeout,  $    $      ,American,Theater District / Times Square,(39),4.4 stars out of 5,The Three Monkeys Bar
,,  $    $    $    ,French,Midtown West,(4478),4.6 stars out of 5,Brasserie 8 1/2
,,  $    $      ,Tapas / Small Plates,Chelsea,(649),4.7 stars out of 5,Tía Pol
, Takeout,  $    $    $    ,Gastro Pub,Upper East Side,(194),4.5 stars out of 5,Hudson Malone
,,  $    $      ,Italian,Midtown East,(339),4.6 stars out of 5,Da Raffaele - NYC
,,  $    $    $    ,American,Hell's Kitchen,(171),4.5 stars out of 5,The Harrow
,,  $    $    $    $  ,Italian,Midtown East,(1487),4.7 stars out of 5,Armani Ristorante 5th Avenue
,,  $    $      ,American,Chelsea,(11),4.4 stars out of 5,District Local
, Delivery partners,  $    $      ,American,Midtown West,(106),4.4 stars out of 5,Tanner Smith's
, Takeout,  $    $      ,Thai,Gramercy / Flatiron,,,Bangkok 2 Thai
,2,  $    $      ,Asian,Gramercy / Flatiron,(3),4.6 stars out of 5,Proong Noodle Bar
,,  $    $    $    ,Contemporary American,Midtown East,(398),4.6 stars out of 5,The Garden at The Four Seasons
,,  $    $    $    ,Italian,Midtown West,(1209),4.6 stars out of 5,Basso56
,,  $    $      ,Mexican,Union Square,(9),3.7 stars out of 5,Macho's
, Takeout,  $    $    $    ,American,Greenwich Village,(370),4.4 stars out of 5,Society Cafe
,,  $    $      ,Mexican,Midtown East,(43),4.4 stars out of 5,TacoVision
,,  $    $    $    ,French,Union Square,(580),4.5 stars out of 5,Le Midi Bar & Restaurant
,,  $    $      ,Spanish,West Village,(195),4.4 stars out of 5,La Nacional Restaurant
,,  $    $    $    ,American,Midtown East,(699),4.8 stars out of 5,The Polo Bar
, Delivery partners,  $    $      ,Latin American,Hell's Kitchen,(32),4.1 stars out of 5,Fusion HK Bar and Grill
,,  $    $    $    ,Italian,Midtown West,(2298),4.4 stars out of 5,1 Nocello
,,  $    $      ,Bar / Lounge / Bottle Service,Union Square,(9),3.7 stars out of 5,SideBAR - Union Square
